sensor_index,date_created,private,name,icon,location_type,model,hardware,latitude,longitude
131075,1632955574,0,Mariners Bluff,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,33.51511,-117.67972
131079,1632955612,0,BRSKBV-outside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.75315,-122.44364
131077,1632955594,0,BEE Patio,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.93273,-122.03972
131083,1632955622,0,Bettencourt Home,0,0,PA-II,2.0+PMSX003-B+PMSX003-A,38.287594,-122.46281
131087,1632955644,0,Graeagle Meadows,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,39.76283,-120.61008
131091,1632955657,0,Cupertino Dog Yard,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.328453,-122.048836
131089,1632955649,0,Maison du Vin et Fromage,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.752125,-122.43994
131097,1633028780,0,Carmelita,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.37483,-122.07158
53,1454548891,0,Lakeshore,0,0,UNKNOWN,1.0+1M+PMSX003-O,40.246742,-111.7048
77,1456896339,0,Sunnyside,0,0,PA-I,2.0+1M+PMSX003-A,40.750816,-111.82529
131190,1633034575,0,Lanterns at Rock Creek,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,39.94589,-105.14925
131195,1633034592,0,NJ48D9,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,40.2219,-74.76362
131197,1633034597,0,NJ2348,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.218304,-74.760216
131203,1633034622,0,Vino Noceto,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,38.521652,-120.82048
131201,1633034610,0,Rosemary Recreation Complex,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,42.287605,-71.23751
135,1464376452,0,Octopod,0,0,PA-I,2.0+1M+BME280+PMSX003-A,41.223026,-111.9438
131205,1633034632,0,Needham private residence,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+PMSX003-B+PMSX003-A,42.29583,-71.253525
131211,1633034739,0,460&amp;603 corner,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,37.226986,-80.212204
131259,1633042564,0,Everett Creek - outside,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,34.113136,-77.87975
131257,1633040601,0,The Crossings,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,37.95144,-121.98193
195,1470083084,0,Trinidad ,0,0,PA-II,2.0+1M+BME280+PMSX003-B+PMSX003-A,41.059727,-124.12889
131279,1633106578,0,NNRD - Outside,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+BME680+PMSX003-B+PMSX003-A,39.98117,-105.15552
131281,1633106582,0,NJ1F53,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.232094,-74.77151
131287,1633106604,0,Pinebluff,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34.182487,-92.005974
131291,1633106615,0,Shannon hills,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34.62277,-92.43314
131289,1633106610,0,West Little Rock,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34.723907,-92.345764
131293,1633106619,0,Police Department,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,42.121555,-72.75205
131317,1633106699,0,Roosevelt,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.59127,-105.10347
131327,1633111337,0,Uxbridge BOH/Taft Early Learning Center,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,42.08482,-71.62606
131335,1633111397,0,"12 rotch st. acushnet , mass 02743",0,0,PA-II-SD,2.0+OPENLOG+31037 MB+PMSX003-B+PMSX003-A,41.669945,-70.902306
131347,1633111527,0,6 Linda Lane,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,41.76484,-71.12986
131355,1633111558,0,Near Bauder,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.567772,-105.12439
131353,1633111554,0,PURPLEAIR PA-II-SD CLX HSE,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,32.682343,-115.494675
131379,1633377278,0,MORPC_30,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,39.96028,-83.006294
314,1473904717,0,Parker,0,0,PA-II,2.0+1M+BME280+PMSX003-B+PMSX003-A,39.43402,-104.73237
322,1473909821,0,Hemberg Dr,0,0,PA-II,2.0+1M+BME280+PMSX003-B+PMSX003-A,35.224293,-111.60618
131403,1633384259,0,ACUSHNET BOH-2,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,41.66893,-70.90374
131421,1633384315,0,"Boulder, CO",0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,39.983513,-105.182
131431,1633384635,0,San Bruno Fire Station 52,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,37.624493,-122.44617
131435,1633384636,0,San Bruno Fire Station 51,0,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,37.624477,-122.41409
131455,1633384873,0,NJ4E24,0,0,PA-II-SD,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,40.23745,-74.74114
